"REF_DATE","GEO","DGUID","Type of direct investment","Countries","Type of direct investment flows","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2016-01","Canada","2016A000011124","Canadian direct investment abroad","All countries","Total net flows","Dollars","81","millions","6","v61913911","1.1.1.1","14910","","","","0"
"2016-04","Canada","2016A000011124","Canadian direct investment abroad","All countries","Total net flows","Dollars","81","millions","6","v61913911","1.1.1.1","15177","","","","0"
"2016-07","Canada","2016A000011124","Canadian direct investment abroad","All countries","Total net flows","Dollars","81","millions","6","v61913911","1.1.1.1","28434","","","","0"
"2016-10","Canada","2016A000011124","Canadian direct investment abroad","All countries","Total net flows","Dollars","81","millions","6","v61913911","1.1.1.1","33619","","","","0"
"2017-01","Canada","2016A000011124","Canadian direct investment abroad","All countries","Total net flows","Dollars","81","millions","6","v61913911","1.1.1.1","43497","","","","0"
"2017-04","Canada","2016A000011124","Canadian direct investment abroad","All countries","Total net flows","Dollars","81","millions","6","v61913911","1.1.1.1","20557","","","","0"
"2017-07","Canada","2016A000011124","Canadian direct investment abroad","All countries","Total net flows","Dollars","81","millions","6","v61913911","1.1.1.1","16891","","","","0"
"2017-10","Canada","2016A000011124","Canadian direct investment abroad","All countries","Total net flows","Dollars","81","millions","6","v61913911","1.1.1.1","17943","","","","0"
"2018-01","Canada","2016A000011124","Canadian direct investment abroad","All countries","Total net flows","Dollars","81","millions","6","v61913911","1.1.1.1","9694","","","","0"
"2018-04","Canada","2016A000011124","Canadian direct investment abroad","All countries","Total net flows","Dollars","81","millions","6","v61913911","1.1.1.1","19339","","","","0"
"2018-07","Canada","2016A000011124","Canadian direct investment abroad","All countries","Total net flows","Dollars","81","millions","6","v61913911","1.1.1.1","29197","","","","0"
"2018-10","Canada","2016A000011124","Canadian direct investment abroad","All countries","Total net flows","Dollars","81","millions","6","v61913911","1.1.1.1","16991","","","","0"
"2019-01","Canada","2016A000011124","Canadian direct investment abroad","All countries","Total net flows","Dollars","81","millions","6","v61913911","1.1.1.1","32829","","","","0"
"2019-04","Canada","2016A000011124","Canadian direct investment abroad","All countries","Total net flows","Dollars","81","millions","6","v61913911","1.1.1.1","23351","","","","0"
"2019-07","Canada","2016A000011124","Canadian direct investment abroad","All countries","Total net flows","Dollars","81","millions","6","v61913911","1.1.1.1","16733","","","","0"
"2019-10","Canada","2016A000011124","Canadian direct investment abroad","All countries","Total net flows","Dollars","81","millions","6","v61913911","1.1.1.1","29903","","","","0"
"2020-01","Canada","2016A000011124","Canadian direct investment abroad","All countries","Total net flows","Dollars","81","millions","6","v61913911","1.1.1.1","10181","","","","0"
"2020-04","Canada","2016A000011124","Canadian direct investment abroad","All countries","Total net flows","Dollars","81","millions","6","v61913911","1.1.1.1","15365","","","","0"
"2020-07","Canada","2016A000011124","Canadian direct investment abroad","All countries","Total net flows","Dollars","81","millions","6","v61913911","1.1.1.1","19957","","","","0"
"2020-10","Canada","2016A000011124","Canadian direct investment abroad","All countries","Total net flows","Dollars","81","millions","6","v61913911","1.1.1.1","13061","","","","0"
"2021-01","Canada","2016A000011124","Canadian direct investment abroad","All countries","Total net flows","Dollars","81","millions","6","v61913911","1.1.1.1","14675","","","","0"
"2021-04","Canada","2016A000011124","Canadian direct investment abroad","All countries","Total net flows","Dollars","81","millions","6","v61913911","1.1.1.1","20926","","","","0"
"2021-07","Canada","2016A000011124","Canadian direct investment abroad","All countries","Total net flows","Dollars","81","millions","6","v61913911","1.1.1.1","27137","","","","0"
"2021-10","Canada","2016A000011124","Canadian direct investment abroad","All countries","Total net flows","Dollars","81","millions","6","v61913911","1.1.1.1","70142","","","","0"
"2022-01","Canada","2016A000011124","Canadian direct investment abroad","All countries","Total net flows","Dollars","81","millions","6","v61913911","1.1.1.1","24622","","","","0"
"2022-04","Canada","2016A000011124","Canadian direct investment abroad","All countries","Total net flows","Dollars","81","millions","6","v61913911","1.1.1.1","36495","","","","0"
"2022-07","Canada","2016A000011124","Canadian direct investment abroad","All countries","Total net flows","Dollars","81","millions","6","v61913911","1.1.1.1","26038","","","","0"
"2022-10","Canada","2016A000011124","Canadian direct investment abroad","All countries","Total net flows","Dollars","81","millions","6","v61913911","1.1.1.1","22416","","","","0"
"2023-01","Canada","2016A000011124","Canadian direct investment abroad","All countries","Total net flows","Dollars","81","millions","6","v61913911","1.1.1.1","63133","","","","0"
"2023-04","Canada","2016A000011124","Canadian direct investment abroad","All countries","Total net flows","Dollars","81","millions","6","v61913911","1.1.1.1","16759","","","","0"
"2023-07","Canada","2016A000011124","Canadian direct investment abroad","All countries","Total net flows","Dollars","81","millions","6","v61913911","1.1.1.1","23508","","","","0"
"2023-10","Canada","2016A000011124","Canadian direct investment abroad","All countries","Total net flows","Dollars","81","millions","6","v61913911","1.1.1.1","26519","","","","0"
"2024-01","Canada","2016A000011124","Canadian direct investment abroad","All countries","Total net flows","Dollars","81","millions","6","v61913911","1.1.1.1","39302","","","","0"
"2024-04","Canada","2016A000011124","Canadian direct investment abroad","All countries","Total net flows","Dollars","81","millions","6","v61913911","1.1.1.1","26989","","","","0"
"2024-07","Canada","2016A000011124","Canadian direct investment abroad","All countries","Total net flows","Dollars","81","millions","6","v61913911","1.1.1.1","6698","","","","0"
"2024-10","Canada","2016A000011124","Canadian direct investment abroad","All countries","Total net flows","Dollars","81","millions","6","v61913911","1.1.1.1","54794","","","","0"
"2025-01","Canada","2016A000011124","Canadian direct investment abroad","All countries","Total net flows","Dollars","81","millions","6","v61913911","1.1.1.1","6981","","","","0"
"2025-04","Canada","2016A000011124","Canadian direct investment abroad","All countries","Total net flows","Dollars","81","millions","6","v61913911","1.1.1.1","30291","","","","0"
"2025-07","Canada","2016A000011124","Canadian direct investment abroad","All countries","Total net flows","Dollars","81","millions","6","v61913911","1.1.1.1","24815","","","","0"
"2025-10","Canada","2016A000011124","Canadian direct investment abroad","All countries","Total net flows","Dollars","81","millions","6","v61913911","1.1.1.1","14161","","","","0"
"2007-01","Canada","2016A000011124","Canadian direct investment abroad","All countries","Mergers and acquisitions","Dollars","81","millions","6","v61913912","1.1.1.2","6036","","","","0"
"2007-04","Canada","2016A000011124","Canadian direct investment abroad","All countries","Mergers and acquisitions","Dollars","81","millions","6","v61913912","1.1.1.2","3046","","","","0"
"2007-07","Canada","2016A000011124","Canadian direct investment abroad","All countries","Mergers and acquisitions","Dollars","81","millions","6","v61913912","1.1.1.2","7359","","","","0"
"2007-10","Canada","2016A000011124","Canadian direct investment abroad","All countries","Mergers and acquisitions","Dollars","81","millions","6","v61913912","1.1.1.2","4468","","","","0"
"2008-01","Canada","2016A000011124","Canadian direct investment abroad","All countries","Mergers and acquisitions","Dollars","81","millions","6","v61913912","1.1.1.2","11809","","","","0"
"2008-04","Canada","2016A000011124","Canadian direct investment abroad","All countries","Mergers and acquisitions","Dollars","81","millions","6","v61913912","1.1.1.2","5594","","","","0"
"2008-07","Canada","2016A000011124","Canadian direct investment abroad","All countries","Mergers and acquisitions","Dollars","81","millions","6","v61913912","1.1.1.2","3035","","","","0"
"2008-10","Canada","2016A000011124","Canadian direct investment abroad","All countries","Mergers and acquisitions","Dollars","81","millions","6","v61913912","1.1.1.2","4538","","","","0"
"2009-01","Canada","2016A000011124","Canadian direct investment abroad","All countries","Mergers and acquisitions","Dollars","81","millions","6","v61913912","1.1.1.2","1113","","","","0"
